R,v,eta_c
0.300000,0.500000,0.276463
0.300000,0.825000,0.473562
0.300000,1.150000,0.708356
0.600000,0.500000,0.304443
0.600000,0.825000,0.528030
0.600000,1.150000,0.718857
0.900000,0.500000,0.285934
0.900000,0.825000,0.529761
0.900000,1.150000,0.718800
1.200000,0.500000,0.282863
1.200000,0.825000,0.520378
1.200000,1.150000,0.683203
1.500000,0.500000,0.284515
1.500000,0.825000,0.471486
1.500000,1.150000,0.712503
